KABUPATEN;JUMLAH;SUB JUMLAH;Kerapu;Mujair;Tawes;Kakap
JUMLAH 0 TOTAL;191610,2;124807,4;475,5;8544,2;0;402,3
KABUPATEN TUBAN;5038;1238;23,6;147,3;0;0
KABUPATEN LAMONGAN;3972,6;1379,2;306,6;131,2;0;0
KABUPATEN GRESIK;48185;42530,4;66,7;1734,9;0;0
KOTA SURABAYA;6530,3;5120;0;0;0;0
KABUPATEN BANGKALAN;2860,2;1695,8;0;307,2;0;264,8
KABUPATEN SAMPANG;5249,8;3628,5;0;633,5;0;0
KABUPATEN PAMEKASAN;520,9;37,8;0;0;0;0
KABUPATEN SUMENEP;1116,1;715,7;0;149,1;0;0
KABUPATEN SIDOARJO;77266,8;57897,3;0;3748,2;0;0
KABUPATEN PASURUAN;11346,4;6937,5;0;1506,9;0;0
KOTA PASURUAN;1242,9;509,8;0;5,5;0;3
KABUPATEN PROBOLINGGO;6110,8;1840,8;3;131,4;0;2
KOTA PROBOLINGGO;219,6;171;0;15,9;0;1,2
KABUPATEN SITUBONDO;4783,7;18;0;7,4;0;0
KABUPATEN BANYUWANGI;11888,1;1078,7;75,6;25,6;0;131,3
KABUPATEN JEMBER;929,2;8,8;0;0;0;0
KABUPATEN LUMAJANG;715,7;0;0;0;0;0
KABUPATEN MALANG;2657;0;0;0;0;0
KABUPATEN BLITAR;494;0;0;0;0;0
KABUPATEN TULUNGAGUNG;275,4;0;0;0;0;0
KABUPATEN TRENGGALEK;0;0;0;0;0;0
KABUPATEN PACITAN;207,8;0;0;0;0;0
KABUPATEN MAGETAN;0;0;0;0;0;0
KABUPATEN PONOROGO;0;0;0;0;0;0
KABUPATEN NGAWI;0;0;0;0;0;0
KABUPATEN BOJONEGORO;0;0;0;0;0;0
KABUPATEN NGANJUK;0;0;0;0;0;0
KABUPATEN MADIUN;0;0;0;0;0;0
KOTA MADIUN;0;0;0;0;0;0
KABUPATEN JOMBANG;0;0;0;0;0;0
KABUPATEN KEDIRI;0;0;0;0;0;0
KOTA KEDIRI;0;0;0;0;0;0
KABUPATEN MOJOKERTO;0;0;0;0;0;0
KOTA MOJOKERTO;0;0;0;0;0;0
KOTA MALANG;0;0;0;0;0;0
KOTA BLITAR;0;0;0;0;0;0
KABUPATEN BONDOWOSO;0;0;0;0;0;0
KOTA BATU;0;0;0;0;0;0
