,X1,X2,X3,X4,X5,Y1
0,5091,4,79.0,17.0,3,100
1,19057,5,130.0,29.0,10,164
2,4373,0,66.0,14.0,3,80
3,87991,58,1572.0,147.0,10,1777
4,13594,19,325.0,49.0,3,393
5,20849,1,152.0,33.0,9,186
6,19479,3,249.0,27.0,3,279
7,24137,0,325.0,14.0,9,339
8,22538,0,161.0,31.0,3,192
9,8668,3,113.0,26.0,10,142
10,42334,0,233.0,19.0,10,252
11,5590,0,88.0,18.0,10,106
12,5133,0,90.0,14.0,10,104
13,4896,5,137.0,10.0,3,152
14,39941,2,577.0,20.0,5,599
15,19680,4,86.0,18.0,10,108
16,2981,2,40.0,12.0,3,54
17,111785,15,678.0,20.0,12,713
18,7509,4,54.0,17.0,3,75
19,2825,0,34.0,8.0,11,42
20,5066,3,66.0,12.0,3,81
21,2467,0,0.0,0.0,10,0
22,6853,0,16.0,2.0,10,18
23,4888,0,72.0,24.0,3,96
24,15294,3,99.0,19.0,10,121
25,15104,0,88.0,18.0,3,106
26,34143,10,412.0,72.0,11,494
27,4306,0,100.0,17.0,3,117
28,18264,36,523.0,63.0,3,622
29,61262,18,143.0,13.0,11,174
30,9390,33,107.0,22.0,2,162
31,2929,1,27.0,11.0,10,39
32,9578,2,155.0,47.0,3,204
33,5318,4,98.0,23.0,9,125
34,7149,2,56.0,17.0,3,75
35,7808,6,172.0,21.0,11,199
36,4628,0,96.0,17.0,3,113
37,28663,16,76.0,8.0,10,100
38,33058,11,227.0,31.0,9,269
39,6085,1,44.0,14.0,3,59
40,24198,7,216.0,39.0,11,262
41,28438,6,187.0,18.0,3,211
42,13989,7,26.0,3.0,10,36
43,4270,7,29.0,10.0,3,46
44,8387,0,47.0,11.0,11,58
45,13023,4,57.0,10.0,3,71
46,30612,4,174.0,36.0,11,214
47,3481,6,18.0,8.0,2,32
48,7329,0,77.0,15.0,11,92
49,3094,1,12.0,1.0,2,14
50,3155,1,48.0,9.0,9,58
51,40125,24,285.0,28.0,3,337
52,8899,9,202.0,31.0,9,242
53,5439,4,64.0,19.0,3,87
54,4462,4,66.0,13.0,10,83
55,31950,2,65.0,14.0,2,81
56,10465,2,164.0,54.0,11,220
57,4846,0,40.0,13.0,3,53
58,4372,3,76.0,11.0,10,90
59,84885,4,139.0,17.0,3,160
