CO_GT ;konsentrasi_CO ;konsentrasi_NMHC;konsentrasi_C6H6;konsentrasi_NMHC ;konsentrasi_NO;konsentrasi_Nox;konsentrasi_NO2;konsentrasi_NO2 ;konsentrasi_O3;konsentrasi_RH ;konsentrasi_AH 
3;1.360;150;12;1.046;166;1.056;113;1.692;1.268;49;1
2;1.292;112;9;955;103;1.174;92;1.559;972;48;1
2;1.402;88;9;939;131;1.140;114;1.555;1.074;54;1
2;1.376;80;9;948;172;1.092;122;1.584;1.203;60;1
2;;51;7;836;131;1.205;116;1.490;1.110;60;1
1;1.197;38;5;750;89;1.337;96;1.393;949;59;1
1;1.185;31;4;690;62;1.462;77;1.333;733;57;1
1;1.136;31;3;672;62;1.453;76;1.333;730;60;1
1;1.094;24;2;609;45;1.579;60;1.276;620;60;1
1;1.010;19;2;561;-200;1.705;-200;1.235;501;60;1
-200;1.011;14;1;527;21;1.818;34;1.197;445;61;1
1;1.066;8;1;512;16;1.918;28;1.182;422;56;1
1;1.052;16;2;553;34;1.738;48;1.221;472;58;1
1;1.144;29;3;667;98;1.490;;1.339;730;60;1
2;1.333;64;8;900;174;1.136;112;1.517;1.102;57;1
2;1.351;87;10;960;129;1.079;101;1.583;1.028;61;1
2;1.233;77;6;;112;1.218;98;1.446;860;58;1
2;1.179;43;5;762;95;1.328;92;;671;58;1
2;1.236;61;5;774;104;1.301;95;1.401;664;67;1
2;1.286;63;7;869;146;1.162;112;1.537;799;76;1
3;1.371;164;12;1.034;207;983;128;1.730;1.037;81;1
2;1.310;79;9;933;184;1.082;126;1.647;946;80;1
2;1.292;95;8;912;193;1.103;131;1.591;957;71;1
3;1.383;150;11;1.020;243;1.008;135;1.719;1.104;68;1
5;1.581;307;21;1.319;281;799;151;2.083;1.409;64;1
7;1.776;461;27;1.488;383;702;172;2.333;1.704;69;1
6;1.640;401;24;1.404;351;743;165;2.191;1.654;68;1
4;1.313;197;13;1.076;240;957;136;1.707;1.285;64;1
2;965;61;5;749;94;1.325;85;1.333;821;63;1
1;913;26;3;629;47;1.565;53;1.252;552;61;1
2;1.080;55;6;805;122;1.254;97;1.375;816;59;1
2;1.044;53;6;829;133;1.247;110;1.378;832;60;1
1;988;40;4;718;82;1.396;91;1.304;692;62;1
1;889;21;2;574;-200;;-200;1.187;512;62;1
-200;831;10;1;506;21;1.893;32;1.134;384;66;1
1;847;7;1;501;30;1.895;44;1.155;394;65;1
1;927;17;2;571;56;1.685;71;1.223;487;63;1
1;1.091;33;4;730;109;1.387;104;1.361;748;65;1
4;1.587;202;18;1.236;307;897;141;1.900;1.400;63;1
-200;1.545;-200;22;1.353;-200;767;-200;2.058;1.588;56;1
3;1.350;208;14;1.118;187;912;122;1.712;1.237;42;1
3;1.263;166;12;1.037;216;969;143;1.598;1.167;38;1
2;1.206;114;10;986;143;1.035;113;1.537;959;37;1
